,Stevilo vozlisc,Nakljucno,Casi nakljucno,CLP,Casi CLP,Lokalno iskanje,Casi lokalno
30,241,159,0.004494905471801758,168,0.010447978973388672,159,0.0006420612335205078
31,249,167,0.003756999969482422,174,0.010799884796142578,167,0.0006670951843261719
32,257,165,0.003253936767578125,176,0.010879039764404297,165,0.0008077621459960938
33,265,177,0.0034530162811279297,192,0.01230311393737793,177,0.0008978843688964844
34,273,169,0.003641843795776367,180,0.014764070510864258,169,0.0021560192108154297
35,281,169,0.0062749385833740234,186,0.013602972030639648,169,0.0025260448455810547
36,289,178,0.010324954986572266,191,0.014394760131835938,178,0.0013699531555175781
37,297,173,0.0052051544189453125,187,0.015360116958618164,173,0.0016970634460449219
38,305,194,0.004474163055419922,202,0.014800786972045898,194,0.007693052291870117
39,313,186,0.004816293716430664,204,0.015274763107299805,186,0.0028791427612304688
40,321,190,0.004134178161621094,203,0.01647186279296875,190,0.0012269020080566406
41,329,195,0.004678249359130859,216,0.017049074172973633,195,0.0011420249938964844
42,337,187,0.006095170974731445,204,0.01993083953857422,187,0.001386880874633789
43,345,190,0.005682945251464844,213,0.019852638244628906,190,0.0013730525970458984
44,353,204,0.0059320926666259766,221,0.02024221420288086,205,0.0030508041381835938
45,361,208,0.005872964859008789,226,0.023672103881835938,208,0.002852916717529297
46,369,199,0.0077838897705078125,221,0.027126073837280273,199,0.0020821094512939453
47,377,207,0.0062408447265625,228,0.024306774139404297,207,0.0024182796478271484
48,385,225,0.005738973617553711,245,0.02524423599243164,225,0.0016851425170898438
49,393,220,0.006550788879394531,246,0.03335285186767578,220,0.0027468204498291016
50,401,220,0.015302896499633789,242,0.03903007507324219,220,0.0027761459350585938
51,409,237,0.006936073303222656,250,0.05038785934448242,237,0.0033981800079345703
52,417,220,0.008487224578857422,245,0.046365976333618164,220,0.0037817955017089844
53,425,225,0.009302139282226562,247,0.06224799156188965,225,0.0027298927307128906
54,433,241,0.008610010147094727,261,0.06032514572143555,241,0.002279996871948242
55,441,228,0.010380744934082031,253,0.04915308952331543,228,0.0025510787963867188
56,449,234,0.009740114212036133,267,0.04254889488220215,234,0.0023758411407470703
57,457,242,0.009896993637084961,270,0.03925204277038574,242,0.002033233642578125
58,465,236,0.011621713638305664,267,0.04202723503112793,236,0.0019648075103759766
59,473,250,0.012777090072631836,283,0.04065990447998047,250,0.0019462108612060547
60,481,245,0.010870933532714844,279,0.04557204246520996,245,0.0025179386138916016
61,489,244,0.022117137908935547,275,0.06399893760681152,244,0.002454042434692383
62,497,246,0.011874198913574219,287,0.10795307159423828,246,0.003226757049560547
63,505,258,0.009945154190063477,290,0.12676191329956055,258,0.003339052200317383
64,513,252,0.011948108673095703,290,0.0823678970336914,252,0.0032529830932617188
65,521,267,0.010212898254394531,295,0.055770158767700195,267,0.008788108825683594
66,529,259,0.00909113883972168,292,0.07918596267700195,259,0.008105039596557617
67,537,255,0.017464876174926758,301,0.06516504287719727,255,0.0055348873138427734
68,545,258,0.011551141738891602,298,0.06726694107055664,258,0.003306865692138672
69,553,251,0.00994420051574707,297,0.11141514778137207,252,0.004288911819458008
70,561,278,0.009885787963867188,308,0.08996176719665527,278,0.0028357505798339844
71,569,264,0.010226249694824219,307,0.11283397674560547,264,0.0032432079315185547
72,577,269,0.01009511947631836,314,0.08018994331359863,269,0.0035867691040039062
73,585,268,0.00946807861328125,313,0.09701204299926758,268,0.004562854766845703
74,593,274,0.009512186050415039,318,0.09837722778320312,274,0.004888057708740234
