,Najboljsi nakljucno,Casi najboljsi nakljucno,CLP,Casi CLP,Najboljsi lokalno iskanje,Casi najboljsi lokalno iskanje,Nakljucni lokalno iskanje,Casi nakljucni lokalno iskanje
218,11,0.048780202865600586,11,0.125626802444458,11,0.0011780261993408203,13,0.03435206413269043
219,10,0.047444820404052734,11,0.1340160369873047,10,0.0010900497436523438,13,0.033869028091430664
220,10,0.04692506790161133,12,0.1457688808441162,10,0.0010149478912353516,12,0.032308101654052734
221,11,0.04570293426513672,12,0.10008382797241211,12,0.0009970664978027344,13,0.031783103942871094
222,10,0.04902195930480957,11,0.13156604766845703,11,0.0010449886322021484,11,0.03314089775085449
223,9,0.05373811721801758,11,0.10133600234985352,10,0.0010118484497070312,13,0.03774094581604004
224,10,0.04521608352661133,12,0.07478880882263184,11,0.0009329319000244141,12,0.035858869552612305
225,10,0.05265307426452637,11,0.1874239444732666,10,0.0010349750518798828,12,0.03316688537597656
226,11,0.048700809478759766,11,0.1559460163116455,11,0.0011038780212402344,13,0.03335404396057129
227,10,0.05487322807312012,11,0.13064885139465332,11,0.0010020732879638672,12,0.03502678871154785
228,11,0.046341896057128906,11,0.24335098266601562,11,0.0010259151458740234,12,0.03137516975402832
229,10,0.045166015625,11,0.14650702476501465,10,0.000982046127319336,12,0.0331110954284668
230,11,0.04940080642700195,12,0.09058904647827148,11,0.001055002212524414,13,0.03564739227294922
231,10,0.055483102798461914,11,0.18924212455749512,10,0.0009968280792236328,13,0.03538703918457031
232,10,0.04849386215209961,11,0.12746119499206543,11,0.0009949207305908203,12,0.034088134765625
233,10,0.04592490196228027,12,0.1084749698638916,11,0.0009129047393798828,13,0.043763160705566406
234,12,0.04211020469665527,13,0.11827802658081055,12,0.0009322166442871094,12,0.031601905822753906
235,11,0.04640984535217285,12,0.11233997344970703,11,0.001107931137084961,13,0.04010605812072754
236,11,0.05070090293884277,11,0.15075898170471191,11,0.001276254653930664,12,0.035479068756103516
237,11,0.05113482475280762,11,0.15163707733154297,11,0.001001119613647461,11,0.0344388484954834
238,10,0.04965090751647949,11,0.17221879959106445,10,0.0009768009185791016,12,0.032491207122802734
239,9,0.05111408233642578,11,0.13225507736206055,9,0.0010159015655517578,11,0.03385114669799805
240,12,0.05024409294128418,12,0.10151386260986328,12,0.0011889934539794922,12,0.03870201110839844
241,10,0.051750898361206055,11,0.10959887504577637,10,0.0010700225830078125,13,0.03496599197387695
242,10,0.047148704528808594,12,0.10995817184448242,11,0.0009207725524902344,13,0.03285503387451172
243,10,0.04601907730102539,11,0.15450286865234375,10,0.0009882450103759766,13,0.03306889533996582
244,10,0.05030989646911621,10,0.18469691276550293,10,0.001149892807006836,12,0.03436279296875
245,10,0.0472869873046875,12,0.08790802955627441,12,0.0010139942169189453,13,0.03239297866821289
246,11,0.049526214599609375,12,0.08856606483459473,12,0.0010869503021240234,12,0.0341031551361084
247,10,0.049429893493652344,11,0.10601186752319336,10,0.0010402202606201172,12,0.03476214408874512
248,12,0.04723715782165527,12,0.13399195671081543,12,0.0010597705841064453,12,0.03755974769592285
249,10,0.04742002487182617,12,0.16724610328674316,10,0.0011591911315917969,11,0.037095069885253906
250,10,0.04496002197265625,12,0.10665392875671387,10,0.0009169578552246094,12,0.03761625289916992
251,11,0.04861617088317871,12,0.12166309356689453,11,0.0010533332824707031,12,0.035923004150390625
